trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_4350_V55_M,10:57:00,10:57:00,90406,13,0,0
AIR_4352_V6_M,18:09:00,18:09:00,90401,1,0,0
AIR_4352_V6_M,18:11:00,18:11:00,90402,2,0,0
AIR_4352_V6_M,18:12:00,18:12:00,90403,3,0,0
AIR_4352_V6_M,18:13:00,18:13:00,90404,4,0,0
AIR_4352_V6_M,18:17:00,18:17:00,90405,7,0,0
AIR_4352_V6_M,18:27:00,18:27:00,90406,13,0,0
AIR_4352_V7_M,18:09:00,18:09:00,90401,1,0,0
AIR_4352_V7_M,18:11:00,18:11:00,90402,2,0,0
AIR_4352_V7_M,18:12:00,18:12:00,90403,3,0,0
AIR_4352_V7_M,18:13:00,18:13:00,90404,4,0,0
AIR_4352_V7_M,18:17:00,18:17:00,90405,7,0,0
AIR_4352_V7_M,18:27:00,18:27:00,90406,13,0,0
AIR_4352_V55_M,11:39:00,11:39:00,90401,1,0,0
AIR_4352_V55_M,11:41:00,11:41:00,90402,2,0,0
AIR_4352_V55_M,11:42:00,11:42:00,90403,3,0,0
AIR_4352_V55_M,11:43:00,11:43:00,90404,4,0,0
AIR_4352_V55_M,11:47:00,11:47:00,90405,7,0,0
AIR_4352_V55_M,11:57:00,11:57:00,90406,13,0,0
AIR_4354_V55_M,12:39:00,12:39:00,90401,1,0,0
AIR_4354_V55_M,12:41:00,12:41:00,90402,2,0,0
AIR_4354_V55_M,12:42:00,12:42:00,90403,3,0,0
AIR_4354_V55_M,12:43:00,12:43:00,90404,4,0,0
AIR_4354_V55_M,12:47:00,12:47:00,90405,7,0,0
AIR_4354_V55_M,12:57:00,12:57:00,90406,13,0,0
AIR_4356_V6_M,19:09:00,19:09:00,90401,1,0,0
AIR_4356_V6_M,19:11:00,19:11:00,90402,2,0,0
AIR_4356_V6_M,19:12:00,19:12:00,90403,3,0,0
AIR_4356_V6_M,19:13:00,19:13:00,90404,4,0,0
AIR_4356_V6_M,19:17:00,19:17:00,90405,7,0,0
AIR_4356_V6_M,19:27:00,19:27:00,90406,13,0,0
AIR_4356_V7_M,19:09:00,19:09:00,90401,1,0,0
AIR_4356_V7_M,19:11:00,19:11:00,90402,2,0,0
AIR_4356_V7_M,19:12:00,19:12:00,90403,3,0,0
AIR_4356_V7_M,19:13:00,19:13:00,90404,4,0,0
AIR_4356_V7_M,19:17:00,19:17:00,90405,7,0,0
AIR_4356_V7_M,19:27:00,19:27:00,90406,13,0,0
AIR_4356_V55_M,13:39:00,13:39:00,90401,1,0,0
AIR_4356_V55_M,13:41:00,13:41:00,90402,2,0,0
AIR_4356_V55_M,13:42:00,13:42:00,90403,3,0,0
AIR_4356_V55_M,13:43:00,13:43:00,90404,4,0,0
AIR_4356_V55_M,13:47:00,13:47:00,90405,7,0,0
AIR_4356_V55_M,13:57:00,13:57:00,90406,13,0,0
AIR_436_V5_M,14:09:00,14:09:00,90401,1,0,0
AIR_436_V5_M,14:11:00,14:11:00,90402,2,0,0
AIR_436_V5_M,14:12:00,14:12:00,90403,3,0,0
AIR_436_V5_M,14:13:00,14:13:00,90404,4,0,0
AIR_436_V5_M,14:17:00,14:17:00,90405,7,0,0
AIR_436_V5_M,14:27:00,14:27:00,90406,13,0,0
AIR_4360_V6_M,20:09:00,20:09:00,90401,1,0,0
AIR_4360_V6_M,20:11:00,20:11:00,90402,2,0,0
AIR_4360_V6_M,20:12:00,20:12:00,90403,3,0,0
AIR_4360_V6_M,20:13:00,20:13:00,90404,4,0,0
AIR_4360_V6_M,20:17:00,20:17:00,90405,7,0,0
AIR_4360_V6_M,20:27:00,20:27:00,90406,13,0,0
AIR_4360_V7_M,20:09:00,20:09:00,90401,1,0,0
AIR_4360_V7_M,20:11:00,20:11:00,90402,2,0,0
AIR_4360_V7_M,20:12:00,20:12:00,90403,3,0,0
AIR_4360_V7_M,20:13:00,20:13:00,90404,4,0,0
AIR_4360_V7_M,20:17:00,20:17:00,90405,7,0,0
AIR_4360_V7_M,20:27:00,20:27:00,90406,13,0,0
AIR_4364_V6_M,21:09:00,21:09:00,90401,1,0,0
AIR_4364_V6_M,21:11:00,21:11:00,90402,2,0,0
AIR_4364_V6_M,21:12:00,21:12:00,90403,3,0,0
AIR_4364_V6_M,21:13:00,21:13:00,90404,4,0,0
AIR_4364_V6_M,21:17:00,21:17:00,90405,7,0,0
AIR_4364_V6_M,21:27:00,21:27:00,90406,13,0,0
AIR_4364_V7_M,21:09:00,21:09:00,90401,1,0,0
AIR_4364_V7_M,21:11:00,21:11:00,90402,2,0,0
AIR_4364_V7_M,21:12:00,21:12:00,90403,3,0,0
AIR_4364_V7_M,21:13:00,21:13:00,90404,4,0,0
AIR_4364_V7_M,21:17:00,21:17:00,90405,7,0,0
AIR_4364_V7_M,21:27:00,21:27:00,90406,13,0,0
AIR_4370_V6_M,22:39:00,22:39:00,90401,1,0,0
AIR_4370_V6_M,22:41:00,22:41:00,90402,2,0,0
AIR_4370_V6_M,22:42:00,22:42:00,90403,3,0,0
AIR_4370_V6_M,22:43:00,22:43:00,90404,4,0,0
AIR_4370_V6_M,22:47:00,22:47:00,90405,7,0,0
AIR_4370_V6_M,22:57:00,22:57:00,90406,13,0,0
AIR_4370_V7_M,22:39:00,22:39:00,90401,1,0,0
AIR_4370_V7_M,22:41:00,22:41:00,90402,2,0,0
AIR_4370_V7_M,22:42:00,22:42:00,90403,3,0,0
AIR_4370_V7_M,22:43:00,22:43:00,90404,4,0,0
AIR_4370_V7_M,22:47:00,22:47:00,90405,7,0,0
AIR_4370_V7_M,22:57:00,22:57:00,90406,13,0,0
AIR_4374_V6_M,23:39:00,23:39:00,90401,1,0,0
AIR_4374_V6_M,23:41:00,23:41:00,90402,2,0,0
AIR_4374_V6_M,23:42:00,23:42:00,90403,3,0,0
AIR_4374_V6_M,23:43:00,23:43:00,90404,4,0,0
AIR_4374_V6_M,23:47:00,23:47:00,90405,7,0,0
AIR_4374_V6_M,23:57:00,23:57:00,90406,13,0,0
AIR_4374_V7_M,23:39:00,23:39:00,90401,1,0,0
AIR_4374_V7_M,23:41:00,23:41:00,90402,2,0,0
AIR_4374_V7_M,23:42:00,23:42:00,90403,3,0,0
AIR_4374_V7_M,23:43:00,23:43:00,90404,4,0,0
AIR_4374_V7_M,23:47:00,23:47:00,90405,7,0,0
AIR_4374_V7_M,23:57:00,23:57:00,90406,13,0,0
AIR_438_V5_M,14:39:00,14:39:00,90401,1,0,0
